"Defend the package carrier", "Défendre le transporteur de colis"
"Stop the package carrier, flashing star on minimap", "Arrêtez le porte-colis, étoile clignotante sur la minicarte"
"Hop in, I'll give you a ride", "Montez, je vous enmène"
"I need a ride", "J'ai besoin d'un véhicule"
"Launch Missile #1", "Lancer le missile #1"
"Launch Missile #2", "Lancer le missile #2"
"Launch Missile #3", "Lancer le missile #3"
"Defend Missile #1", "Défendre le Missile #1"
"Defend Missile #2", "Défendre le Missile #2"
"Defend Missile #3", "Défendre le missile #3"
"Defend the package carrier (flashing green/white star on the map)", "Défendre le transporteur de colis (étoile verte / blanche clignotante sur la carte)"
"Package carrier deliver the package to the drop off point (green circle on map)", "Le transporteur de colis livre le colis au point de dépôt (cercle vert sur la carte)"
"Drop the package I'll carry it", "Déposez le colis, je vais le porter"
"Pickup the package (white star on the mini-map)", "Ramassez le colis (étoile blanche sur la mini-carte)"
"Kill the enemy carrying the package (flashing red/yellow star on the mini-map)", "Tuez l'ennemi portant le colis (étoile rouge / jaune clignotante sur la mini-carte)"
"Enemy on top of mountain", "Ennemi au sommet de la montagne"
"Group up to help each other", "Regroupez-vous pour vous aider les uns les autres"
"Enemy on top of buildings", "Ennemi au sommet des bâtiments"
"Enemy close", "Ennemi à proximité"
"Taking enemy fire", "Prendre le feu de l'ennemi"
"Kill the enemy helicopter", "Tuez l'hélicoptère ennemi"
"Kill the enemy vehicle", "Tuez le véhicule ennemi"
"Death Match", "Match à mort"
"Capture Flags", "Capture des drapeaux"
"Package Drop", "Récupération de colis"
"Missile Launch", "Lancement de missiles"
"Team", "Équipe"
"CLICK HERE TO SELECT MISSILE LAUNCH", "CLIQUEZ ICI POUR CHOISIR LE LANCEMENT DE MISSILE"
"CLICK HERE TO SELECT PACKAGE DROP", "CLIQUEZ ICI POUR CHOISIR LA RÉCUPÉRATION DE COLIS"
"CLICK HERE TO SELECT DEATH MATCH", "CLIQUEZ ICI POUR CHOISIR MATCH À MORT"
"NEXT GAME MODE VOTE", "VOTER DU MODE DE JEU SUIVANT"
"CLICK HERE TO SELECT TEAM DEATH MATCH", "CLIQUEZ ICI POUR CHOISIR MATCH À MORT EN ÉQUIPE"
"Team Death Match", "Match à mort en équipe"
"Server will restart at end of round", "Le serveur redémarrera à la fin du tour"
"Bomb Disposal", "Déminage"
"MISSILE LAUNCH / BOMB DISPOSAL", "LANCEMENT DE MISSILE / DÉMINAGE"
"PACKAGE DROP", "RÉCUPÉRATION DE COLIS"
"TEAM DEATH MATCH", "MATCH À MORT EN ÉQUIPE"
"Bomb Diffusal Starts In", "Déminage commence dans"
"Disarm Bombs!", "Désamorcer les bombes!"
"Stop enemy team!", "Arrêtez l'équipe ennemie!"
"Bombs Disarmed", "Bombes désamorcés"
"DISARM BOMBS", "DÉSAMORCER LES BOMBES"
"HOLD F TO DISARM", "Maintenez F pour désamorcer"
"STOP ENEMY TEAM", "ARRÊTEZ L’ÉQUIPE ENNEMIE"
"STOP PEOPLE DISARMING BOMBS", "ARRÊTEZ LES LES DÉSAMORCEURS"
"YELLOW = BEING DISARMED", "JAUNE = EN COURS DE DÉSAMORÇAGE"
"RED = DISARMED", "ROUGE = DÉSAMORCÉ"
"GREEN = ARMED", "VERT = AMORCÉ"
"Hold F to Disarm Bomb", "Maintenez F pour désamorcer la bombe"
"Move", "Bouger"
"Fire", "Faire feu"
"Zoom", "Zoom"
"Look", "Regarder"
"Weapon 1", "Arme 1"
"Weapon 2", "Arme 2"
"Crouch", "S’accroupir"
"Reload", "Recharger"
"Jump", "Saut"
"Pistol Death Match Starts In", "Match à mort au pistolet commence dans"
"Pistol Death Match", "Match à mort au pistolet"
"NEXT MAP VOTE", "VOTE PROCHAINE CARTE"
"BOMB DISPOSAL", "DÉMINAGE"
"PISTOL DEATH MATCH", "MATCH À MORT AU PISTOLET"
"MISSILE LAUNCH", "LANCEMENT DE MISSILE"
"Disarm Bomb #1", "Désarmer la bombe #1"
"Disarm Bomb #2", "Désarmer la bombe #2"
"Disarm Bomb #3", "Désarmer la bombe #3"
"Defend Bomb #1", "Défendre la bombe #1"
"Defend Bomb #2", "Défendre la bombe #2"
"Defend Bomb #3", "Défendez la bombe #3"
"DESERT", "DÉSERT"
"NORTHWEST", "NORD OUEST"
"PACIFIC", "PACIFIQUE"
"OFFICE", "BUREAU"
"FLOODED", "INONDÉ"
"Blood Overlay", "Superposition de sang"
"NEXT MAP", "CARTE SUIVANTE"
"Knife", "Couteau"
"Parachute", "Parachute"
"Hold Breath", "Retenir son souffle"
"Server will restart in", "Le serveur redémarrera dans"
"Please rejoin when this happens.", "S'il vous plaît rejoindre quand cela arrive."
"Heli Mini Gun", "Mitrailleuse d’Heli"
"Tank Mini Gun", "Mitrailleuse de Tank"
"Socket Test", "Test de Socket"
"Exit Vehicle", "Sortir du véhicule"
"Drop Package", "Déposer le colis"
"Default Spawn", "Spawn par défaut"
"Click on green area to parachute in on that spot", "Cliquez sur la zone verte pour parachuter à cet endroit"
"E Brake", "E Frein"
"TEMPLE", "TEMPLE"
"Blood", "Sang"
"Drop Flare", "Lancer un leurre éclairant"
"LOCKED", "BLOQUÉ"
"Press ENTER or Left Shift...", "Appuyez sur ENTER ou sur Maj gauche ..."
"Deliver package", "Livrer le colis"
"Get the package", "Obtenez le colis"
"Stop the package carrier", "Arrêtez le transporteur de colis"
"Revolver", "Révolver"
"Minigun", "Minigun"
"Deliver the package to green circle", "Livrer le colis au cercle vert"
"Pickup the package", "Ramasser le colis"
"Kill the enemy carrying the package", "Tuer l'ennemi portant le colis"
"Choose a longer nick", "Choisissez un pseudo plus long"
"Error! Nick already in use!", "Erreur ! Pseudo déjà utilisé !"
"Set your unique nick", "Définissez votre pseudo unique"
"Bored of your current unique nick?  Buy a different one!", "Vous en avez marre de votre pseudo actuel? Achetez-en un autre !"
"Make sure no one can steal your nick. Lock in your nick!", "Assurez-vous que personne ne peut voler votre pseudo. Verrouillez votre pseudo!"
"To view your full stats, please sign in using Google, Facebook, VK, Twitch or Steam.", "Pour voir vos statistiques complètes, veuillez vous connecter en utilisant Google, Facebook, VK, Twitch ou Steam."
"Login", "S'identifier"
"ERROR", "ERREUR"
"Please refresh your browser window", "Veuillez actualiser la fenêtre de votre navigateur"
"Please restart the app", "Veuillez redémarrer l'application"
"Players Online", "Joueurs en ligne"
"Unable to connect", "Impossible de se connecter"
"Use SSL", "Utiliser SSL"
"Choose a Unique Nick", "Choisissez un pseudo unique"
"Please choose a nickname to identify yourself.  Once you choose a nickname, it cannot be changed unless you purchase a new one.", "Veuillez choisir un surnom pour vous identifier. Une fois que vous avez choisi un surnom, il ne peut être modifié à moins d'en acheter un nouveau."
"Quick Help", "Aide rapide"
"PLAYER", "JOUEUR"
"STATS", "STATISTIQUES"
"View Full Stats", "Voir les statistiques complètes"
"STORE", "MAGASIN"
"Redeem Code...", "Utiliser le code ..."
"Grenade Launcher", "Lance-grenades"
"Smoke Grenade", "Grenade fumigène"
"Tank", "Tank"
"Heli", "Heli"
"Heli Minigun", "Mitrailleuse d’Heli"
"Tank Minigun", "Mitrailleuse de Tank"
"OK", "D'accord"
"Cancel", "Annuler"
"HELP", "AIDE"
"SETTINGS", "PARAMÈTRES"
"Connect to a server to go on missions...", "Connectez-vous à un serveur pour partir en mission ..."
"Close", "Fermer"
"Buy Now", "Acheter maintenant"
"BUY NOW ON", "ACHETER MAINTENANT SUR"
"20% off during launch week (Ends April 25th)", "20% de réduction pendant la semaine de lancement (se termine le 25 avril)"
"Includes 5000 Coins", "Comprend 5000 pièces"
"Unique nick with color", "Pseudo unique avec couleur"
"2-5 times better frame rate than the browser version", "FPS 2 à 5 fois plus rapide que la version sur navigateur"
"Stereo sound", "Son stéréo"
"Runs on PC, OSX, and Linux", "Fonctionne sur PC, OSX et Linux"
"Special Hazmat outfit only available with Steam purchase", "La tenue spéciale Hazmat n'est disponible qu'avec l'achat de Steam"
"Play Free", "Jouer gratuitement"
"Steam version features:", "Caractéristiques de la version Steam:"
"Includes 2,500 Coins", "Comprend 2 500 pièces"
"PLAY FREE ON", "JOUER GRATUITEMENT SUR"
"BROWSER", "NAVIGATEUR"
"Vsync", "Vsync"
"Reticule Color", "Couleur du Réticule"
"Please join a new server", "Veuillez rejoindre un nouveau serveur"
"Server is full, try another one", "Le serveur est plein, essayez-en un autre"
"Connection dropped, unable to restore it", "Connexion interrompue, impossible de la restaurer"
"Join the WarBrokers Discord server", "Rejoignez le serveur Discord de WarBrokers"
"Ask the devs questions, get help,", "Poser les questions aux développeurs, obtenez de l'aide,"
"talk with other players, and", "parler avec d'autres joueurs, et"
"get a heads up on new features before", "découvrez les nouvelles fonctionnalités avant"
"they are released to everyone else.", "qu’elles ne soient distribuées aux autres."
"Battle Royale", "Bataille Royale"
"Join the WarBrokers Discord server.  Ask the devs questions, get help, talk with other players, and get a heads up on new features before they are released to everyone else.", "Rejoignez le serveur Discord de WarBrokers. Posez des questions aux développeurs, obtenez de l'aide, parlez avec d'autres joueurs et découvrez les nouvelles fonctionnalités avant qu'elles ne soient distribuées aux autres."
"ESCAPE", "ESCAPE"
"SOUTHWEST", "SUD-OUEST"
"Press Key For: ", "Appuyez sur la touche pour : "
"Reset all keys", "Réinitialiser les touches"
"Forward", "Vers l'avant"
"Back", "Vers l’arrière"
"Left", "À gauche"
"Right", "À droite"
"to Enter Vehicle", "pour entrer dans le véhicule"
"to Pickup Package", "pour ramasser le colis"
"to Change View", "pour changer de point de vue"
"Menu", "Menu"
"Move Forward", "Avancer"
"Move Back", "Reculer"
"Move Left", "Gauche"
"Move Right", "Droite"
"Use", "Intéragir"
"Flare", "Leurre"
"Battle Royale Starts In", "Battle Royale commence dans"
"to Exit Plane", "pour quitter l’avion"
"to Disarm Bomb", "pour désamorcer la bombe"
"to Launch Missile", "pour lancer le missile"
"Zoom Map", "Carte"
"to Cancel", "annuler"
"Jet", "Jet"
"Inventory", "Inventaire"
"Rocket", "Fusée"
"Machine Gun", "Mitrailleuse"
"Afterburner", "Postcombustion"
"20% off during Steam Summer Sale (Ends July 5th)", "20% de réduction pendant la vente d'été Steam (se termine le 5 juillet)"
"Fist", "Poings"
"Health", "Santé"
"Using", "En utilisant"
"Kills Elo", "Elo de kills"
"Games Elo", "Elo de parties"
"Jet Rocket", "Roqueltte de Jet"
"Jet Homing", "Missile guidé de Jet"
"Jet Machinegun", "Mitrailleuse de Jet"
"to Pickup", "ramasser"
"REMAGEN", "REMARGEN"
"Small Health", "Petite santé"
"Medium Health", "Santé moyenne"
"Large Health", "Grande santé"
"Blood Bag", "Poche de sang"
"Pills", "Pilules"
"Energy Can", "Canette d'énergie"
"Needle", "Seringue"
"Leg Light Armor", "Jambières légères"
"Medium Leg Armor", "Jambières moyennes"
"Heavy Leg Armor", "Jambières lourdes"
"Light Vest", "Gilet léger"
"Medium Vest", "Gilet moyen"
"Heavy Vest", "Gilet lourd"
"Light Helmet", "Casque léger"
"Medium Helmet", "Casque moyen"
"Heavy Helmet", "Casque lourd"
"Light Backpack", "Sac à dos léger"
"Medium Backpack", "Sac à dos moyen"
"Heavy Backpack", "Sac à dos lourd"
"100 Round Mag", "Chaergeur de 100"
"40 Round Mag", "Chargeur de 40"
"50 Round Mag", "Chargeur de 50"
"Fast Load Mag", "Chargeur à rechargement rapide"
"Scope", "Lunette"
"Compensator", "Compensateur"
"Flash Reducer", "Réducteur de flash"
"Grip", "Poignée"
"Silencer", "Silencieux"
"Stock", "Stock"
"Laser", "Laser"
"Airhorn", "Klaxon à air"
"Walkie Talkie", "Talkie-walkie"
"Flare Gun", "Pistolet de détresse"
"Teddy Bear", "Ours en peluche"
"Walkie Talkie 2", "Talkie-walkie 2"
"Walkie Talkie 3", "Talkie-walkie 3"
"Dynamite Stick", "Baton de Dynamite"
"Dynamite Bundle", "Paquet de Dynamite"
"Binoculars", "Jumelles"
"Duct Tape", "Ruban adhésif"
"Tape", "Ruban"
"Books", "Livres"
"Book", "Livre"
"Magazines", "Magazines"
"Magazines 2", "Magazines 2"
"Bear Trap", "Piège à ours"
"C4", "C4"
"Claymore", "Claymore"
"Gas Bottle", "Bouteille de gaz"
"Gas Bottle 2", "Bouteille de gaz 2"
"Jar", "Pot"
"Water Bottle", "Bouteille d'eau"
"Water Container", "Réservoir d'eau"
"Mouse Trap", "Piège à souris"
"Pills 2", "Pilules 2"
"Mouse: Fire, Zoom", "Souris: Feu, Zoom"
"Draw Everything", "Tout charger"
"Item Use Cancelled", "Utilisation de l'article annulé"
"You already have a better one!", "Vous en avez déjà un meilleur!"
"press ENTER or SHIFT", "appuyez sur ENTRÉE ou MAJUSCULE"
"DISARM BOMBS!", "DÉSAMORCEZ LES BOMBES !"
"LAUNCH MISSILES!", "LANCEZ LES MISSILES !"
"STOP ENEMY!", "ARRÊTEZ L’ENNEMI !"
"SURVIVAL", "SURVIE"
"DELIVER PACKAGE!", "LIVREZ LE COLIS !"
"GET PACKAGE!", "ATTRAPEZ LE COLIS !"
"DEFEND PACKAGE!", "DÉFENDEZ LE COLIS !"
"STOP PACKAGE!", "ARRÊTEZ LE COLIS !"
"Waiting on players", "En attente de joueurs"
"Hold", "Tenir"
"for large map", "pour une grande carte"
"Remain", "Rester"
"You Win!", "Vous avez gagné!"
"Click on map to parachute in on that spot", "Cliquez sur la carte pour vous parachuter à cet endroit"
"Heavy", "Lourd"
"Scope 2x", "Lunette x2"
"Scope 4x", "Lunette x4"
"Scope 6x", "Lunette x6"
"Sniper Scope", "Lunette de Sniper"
"Chickens don't really win anything but the honor of being in your stomach.", "Les poulets ne gagnent pas vraiment autre chose que l'honneur d'être dans votre estomac."
"Due to budget cuts, full chicken dinners are no longer available.  Here is a chicken nugget.", "En raison des coupes budgétaires, les dîners de poulet complets ne sont plus disponibles. Voici un nugget de poulet."
"Congratulations! In an effort to decrease waste, War Brokers has awarded you a slightly used chicken dinner.", "Toutes nos félicitations! Dans le but de réduire les déchets, War Brokers vous a décerné un dîner de poulet légèrement périmé."
"You know even I amaze myself sometimes.", "Tu sais je me surprends parfois moi-même."
"Wow!  You just survived all of that!", "Houlala! Vous venez de survivre à tout ça !"
"Can you hear me now?", "Tu m’entend mieux maintenant ?"
"Winner - It's your lucky day!", "Vainqueur - C'est votre jour de chance!"
"Nice Win! Next time will be harder.", "Belle victoire ! La prochaine fois sera plus difficile."
"Cheating detected.  Account banned.... Just kidding.", "Triche détectée. Compte banni… Non, c’est une blague."
"Winner Winner Sausage Dinner!", "Je suis venu, j’ai vu, j’ai vaincu."
"Wow, we've never seen anyone win in that particular way, in that particular spot, against those particular enemies, under those particular conditions before!", "Wow, c’est bien la première fois qu’on voit quelqu’un gagner de cette façon, dans cet endroit particulier, contre ces ennemis particuliers, dans ces conditions particulières!"
"You've won! Tip: Keep doing that.", "Vous avez gagné ! Petite astuce : continuez comme ça."
"Winner Winner losers for dinner!", "Ta défaite est cinglante, comme à Alésia"
"You Wrecked them!", "Vous les avez anéantis !"
"Next time, don't forget the bubblegum!", "La prochaine fois, n'oubliez pas le chewing-gum !"
"You've won a haiku.  I'm terrible at haikus.  So, here goes nothing... Wait...", "Cléopâtre t'attend à Alexandrie pour t'offrir ta récompense"
"Congratulations, you've won these very words!", "Félicitations, vous avez gagné… Cette ligne. Oui c’est tout.!"
"I'm sorry, we don't serve poultry here.  Only justice.", "Je suis désolé, nous ne servons pas de volaille ici. Seulement de la justice."
"Studies have shown that your chances of losing are still 99.99999%.", "Des études ont montré que vos chances de perdre sont toujours de 99,99999%."
"Please proceed to the nuclear plant for your cake.", "Veuillez vous rendre à la centrale nucléaire pour votre gâteau."
"There is a party for you at Joja's Pizza.  Everyone still alive will be there!", "Il y a une fête pour toi chez Joja's Pizza. Tout le monde encore en vie sera là!"
"Winner winner vulture dinner!  (Please note vulture stomachs may contain prior enemies...)", "Vous savez, moi je ne crois pas qu’il y ait de bonne ou de mauvaise situation."
"Winner!  We are required to inform you that your chicken dinner may contain lead bullets.", "Cher vainqueur, nous sommes tenus de vous informer que votre dîner de poulet peut contenir des balles de plomb."
"Congratulations!  Please do your part and clean the area of all shell casings.  Thank you.", "Veuillez faire votre part du travail et de nettoyer la zone de toutes les douilles tombées au sol, SVP merci :)"
"Fun Fact: You didn't lose!", "Fait amusant : Vous n'avez pas perdu!"
"Please remember to remove your Kelvar BEFORE your dinner!", "N'oubliez pas de retirer votre gilet pare-balles AVANT de vous mettre à table !"
"Haikus are the worst, and you deserve something more.  However, you lost.", "L’important c’est de participer … Mais n’avez quand même rien gagné"
"Your consciousness is now being uploaded to the nearest crash test dummy unit...", "Votre conscience est en cours de téléchargement vers le mannequin de tests de collision la plus proche ..."
"The cake was a lie.", "Le gâteau était un mensonge."
"All these games are lost. Like tears, in rain.", "Toutes ces parties sont perdues. Comme des larmes coulant sous la pluie."
"We regret to inform you that our previous message on using your dead enemies as floatation devices in case of emergency was, in fact, not true.  We apologize for the misinformation.", "Nous regrettons de vous informer que notre message précédent sur l'utilisation de vos ennemis morts en tant que dispositifs de flottaison en cas d'urgence était erroné. Nous nous excusons pour la gêne occasionée."
"This is going on your permanent record.", "Ces faits seront ajoutés sur votre casier judiciaire"
"For every action there is an equal and opposite reaction... like your body.", "Pour chaque action, il y a une réaction égale et opposée ... comme votre corps."
"Tip: Don't die next time!", "Astuce: ne mourrez pas la prochaine fois!"
"You have war broke my heart.", "Vous m’avez brisé mon petit cœur de Broker."
"Tip: When hiding from a nearby enemy, attempt to not die.", "Conseil : lorsque vous vous cachez d'un ennemi proche, essayez de ne pas mourir."
"You've won a participation trophy.  Congratulations!", "Vous avez gagné un trophée de participation. Toutes nos félicitations!"
"Due to budget cuts on words, only winners receive complete", "En raison de restrictions budgétaires sur les phrases, seuls les gagnants reçoivent"
"Research has shown that dying will not result in winning the game.", "Des recherches ont montré que la mort n'aboutira pas à la victoire."
"Please do not toss your headphones across the room in frustration. --WB Team", "S'il vous plaît, ne jetez pas vos écouteurs à travers la pièce par frustration. - L’équipe WB"
"'Pick yourself up.  Dust yourself off.  Start all over again.' --Fred Astaire, 1926", "'Pick yourself up.  Dust yourself off.  Start all over again.' --Fred Astaire, 1926"
"Your death has resulted in the immediate loss of your opportunity to win.", "Votre décès a entraîné la perte immédiate de votre unique chance de gagner."
"Since you died, and we cannot find a will, we are hereby seizing your property and assets in name of the goverment of War Brokers.", "Du fait de votre décès  et en l’absence de testament, nous saisissons votre propriété et vos biens au nom du gouvernement de War Brokers."
"You death has made someone else very happy.  Congratulations!", "Votre mort a rendu quelqu'un d'autre très heureux. Toutes nos félicitations !"
"Thank you for contributing to The Grim Reapers daily quota.", "Merci d'avoir contribué au quota quotidien de la Faucheuse."
"We are informing you that we will be dropping your body from 40,000 feet for 'research'.", "Nous vous informons que nous allons lâcher votre corps de 12192 mètres «pour la science»."
"Next time, please die near the soccer goal so the winner can play with your dead body.", "La prochaine fois, veuillez mourir près des cages de butl pour que le gagnant puisse jouer avec votre cadavre."
"We have now started the ritual to transform you into a pancake.", "Nous avons maintenant commencé le rituel pour vous transformer en crêpe."
"There is always a second life... wait actually this was your only one.", "Il y a toujours une seconde vie ... Oh, attendez… Celle-ci était en fait la dernière."
